trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
2790195,40818,40821,45050,4,0,0,0.496
2790195,40836,40839,41537,5,0,0,0.695
2790195,40854,40865,41539,6,0,0,0.874
2790195,40877,40901,46418,7,0,0,1.042
2790830,37218,37218,45052,2,0,0,0.267
2790830,37237,37242,45051,3,0,0,0.383
2790830,37259,37264,45050,4,0,0,0.496
2790830,37277,37280,41537,5,0,0,0.695
2790830,37293,37302,41539,6,0,0,0.874
2790830,37314,37336,46418,7,0,0,1.042
2793019,43857,43872,41216,1,0,0,0.193
2793019,43959,43965,41694,2,0,0,0.619
2793019,43989,43999,41698,3,0,0,0.809
2793019,44024,44071,41700,4,0,0,1.112
2793019,44093,44103,41702,5,0,0,1.363
2793019,44129,44144,41704,6,0,0,1.638
2793019,44157,44161,46272,7,0,0,1.824
2793019,44184,44193,46273,8,0,0,2.127
2793019,44215,44218,41165,9,0,0,2.436
2793019,44231,44234,41162,10,0,0,2.642
2793019,44249,44258,41160,11,0,0,2.842
2793019,44284,44298,41158,12,0,0,3.17
2793019,44312,44315,43264,13,0,0,3.376
2793019,44325,44327,41156,14,0,0,3.549
2793019,44339,44346,41204,15,0,0,3.722
2793019,44362,44365,41202,16,0,0,3.968
2793019,44379,44381,41192,17,0,0,4.2
2793019,44389,44399,41167,18,0,0,4.321
2793019,44414,44432,41200,19,0,0,4.518
2793019,44492,44495,43039,20,0,0,5.289
2793019,44525,44530,43041,21,0,0,5.595
2793019,44548,44561,43044,22,0,0,5.839
2793019,44572,44581,43046,23,0,0,5.996
2793019,44593,44607,43049,24,0,0,6.159
2793019,44625,44630,43052,25,0,0,6.391
2793019,44651,44676,43054,26,0,0,6.67
2793019,44699,44703,42076,27,0,0,6.897
2793019,44717,44730,42097,28,0,0,7.094
2793019,44745,44780,42119,29,0,0,7.296
2793019,44795,44799,42006,30,0,0,7.515
2793019,44810,44820,45046,31,0,0,7.679
2793019,44839,44864,42028,32,0,0,7.826
